timestamp;Volumetic_water_content;Soil_temperature;Electrical_conductivity
 2023-06-09 06:04:11; 0.351; 9.300; 125.000
 2023-06-09 06:24:07; 0.351; 9.300; 124.000
 2023-06-09 06:34:07; 0.351; 9.300; 124.000
 2023-06-09 06:44:09; 0.351; 9.300; 125.000
 2023-06-09 06:54:12; 0.351; 9.300; 124.000
 2023-06-09 07:04:12; 0.351; 9.300; 124.000
 2023-06-09 07:14:12; 0.351; 9.300; 124.000
 2023-06-09 07:24:06; 0.352; 9.300; 125.000
 2023-06-09 07:34:12; 0.352; 9.200; 125.000
 2023-06-09 07:44:09; 0.351; 9.200; 125.000
 2023-06-09 07:54:07; 0.351; 9.200; 125.000
 2023-06-09 08:04:06; 0.351; 9.200; 125.000
 2023-06-09 08:14:10; 0.351; 9.200; 125.000
 2023-06-09 08:24:08; 0.352; 9.200; 124.000
 2023-06-09 08:34:13; 0.351; 9.200; 124.000
 2023-06-09 08:44:11; 0.351; 9.200; 125.000
 2023-06-09 08:54:11; 0.351; 9.200; 124.000
 2023-06-09 09:04:06; 0.352; 9.200; 124.000
 2023-06-09 09:14:12; 0.351; 9.100; 124.000
 2023-06-09 09:24:06; 0.352; 9.100; 124.000
 2023-06-09 09:34:12; 0.352; 9.100; 125.000
 2023-06-09 09:44:12; 0.352; 9.100; 125.000
 2023-06-09 09:54:05; 0.352; 9.100; 125.000
 2023-06-09 10:04:08; 0.351; 9.100; 124.000
 2023-06-09 10:14:08; 0.352; 9.100; 124.000
 2023-06-09 10:24:08; 0.352; 9.100; 124.000
 2023-06-09 10:34:10; 0.351; 9.100; 124.000
 2023-06-09 10:44:09; 0.352; 9.100; 124.000
 2023-06-09 10:54:10; 0.352; 9.100; 124.000
 2023-06-09 11:04:06; 0.351; 9.100; 124.000
 2023-06-09 11:14:13; 0.351; 9.100; 124.000
 2023-06-09 11:24:10; 0.351; 9.100; 124.000
 2023-06-09 11:34:09; 0.352; 9.100; 124.000
 2023-06-09 11:44:07; 0.351; 9.100; 124.000
 2023-06-09 11:54:07; 0.351; 9.100; 124.000
 2023-06-09 12:04:08; 0.352; 9.100; 125.000
 2023-06-09 12:14:08; 0.351; 9.100; 124.000
 2023-06-09 12:24:09; 0.352; 9.100; 124.000
 2023-06-09 12:34:08; 0.352; 9.100; 125.000
 2023-06-09 12:44:13; 0.351; 9.100; 125.000
 2023-06-09 12:54:11; 0.351; 9.100; 124.000
 2023-06-09 13:04:10; 0.352; 9.100; 124.000
 2023-06-09 13:14:06; 0.351; 9.100; 124.000
 2023-06-09 13:24:13; 0.351; 9.200; 124.000
 2023-06-09 13:34:06; 0.351; 9.200; 124.000
 2023-06-09 13:44:09; 0.352; 9.200; 124.000
 2023-06-09 13:54:08; 0.351; 9.200; 124.000
 2023-06-09 14:04:08; 0.352; 9.200; 124.000
 2023-06-09 14:14:09; 0.351; 9.200; 124.000
 2023-06-09 14:24:11; 0.351; 9.200; 124.000
 2023-06-09 14:34:12; 0.351; 9.200; 124.000
 2023-06-09 14:44:10; 0.352; 9.200; 124.000
 2023-06-09 14:54:12; 0.351; 9.200; 124.000
 2023-06-09 15:04:06; 0.351; 9.200; 124.000
 2023-06-09 15:14:10; 0.351; 9.300; 124.000
 2023-06-09 15:24:12; 0.352; 9.300; 125.000
 2023-06-09 15:34:06; 0.351; 9.300; 124.000
 2023-06-09 15:44:06; 0.351; 9.300; 124.000
 2023-06-09 15:54:13; 0.351; 9.300; 125.000
 2023-06-09 16:04:07; 0.351; 9.300; 124.000
 2023-06-09 16:14:06; 0.351; 9.300; 124.000
 2023-06-09 16:24:06; 0.351; 9.300; 124.000
 2023-06-09 16:34:09; 0.351; 9.300; 124.000
 2023-06-09 16:44:07; 0.351; 9.400; 124.000
 2023-06-09 16:54:12; 0.352; 9.400; 124.000
 2023-06-09 17:04:09; 0.351; 9.400; 124.000
 2023-06-09 17:14:11; 0.351; 9.400; 124.000
 2023-06-09 17:24:11; 0.351; 9.400; 124.000
 2023-06-09 17:34:07; 0.350; 9.400; 124.000
 2023-06-09 17:44:08; 0.351; 9.400; 124.000
 2023-06-09 17:54:08; 0.351; 9.400; 124.000
 2023-06-09 18:04:06; 0.351; 9.400; 123.000
 2023-06-09 18:24:07; 0.351; 9.500; 124.000
 2023-06-09 18:34:11; 0.351; 9.500; 124.000
 2023-06-09 18:44:12; 0.350; 9.500; 124.000
 2023-06-09 19:04:08; 0.350; 9.500; 123.000
 2023-06-09 19:14:05; 0.351; 9.500; 123.000
 2023-06-09 19:24:12; 0.350; 9.500; 123.000
 2023-06-09 19:34:05; 0.350; 9.600; 124.000
 2023-06-09 19:44:07; 0.351; 9.600; 123.000
 2023-06-09 19:54:12; 0.350; 9.600; 123.000
 2023-06-09 20:04:06; 0.350; 9.600; 124.000
 2023-06-09 20:14:06; 0.350; 9.600; 124.000
 2023-06-09 20:24:05; 0.351; 9.600; 124.000
 2023-06-09 20:34:12; 0.351; 9.600; 124.000
 2023-06-09 20:44:10; 0.351; 9.600; 124.000
 2023-06-09 20:54:06; 0.351; 9.600; 124.000
 2023-06-09 21:04:05; 0.350; 9.600; 123.000
 2023-06-09 21:14:11; 0.350; 9.600; 124.000
 2023-06-09 21:24:08; 0.351; 9.600; 124.000
 2023-06-09 21:34:10; 0.350; 9.600; 124.000
 2023-06-09 21:44:05; 0.350; 9.700; 123.000
 2023-06-09 21:54:12; 0.351; 9.700; 124.000
 2023-06-09 22:04:09; 0.350; 9.700; 123.000
 2023-06-09 22:14:09; 0.350; 9.700; 123.000
 2023-06-09 22:24:07; 0.351; 9.700; 124.000
 2023-06-09 22:34:07; 0.350; 9.700; 123.000
 2023-06-09 22:54:11; 0.350; 9.700; 124.000
 2023-06-09 23:04:12; 0.350; 9.700; 123.000
 2023-06-09 23:14:09; 0.351; 9.700; 124.000
 2023-06-09 23:24:08; 0.351; 9.700; 124.000
 2023-06-09 23:34:06; 0.350; 9.700; 123.000
 2023-06-09 23:44:10; 0.351; 9.700; 123.000
 2023-06-09 23:54:09; 0.351; 9.700; 123.000
 2023-06-10 00:04:08; 0.350; 9.700; 123.000
 2023-06-10 00:14:10; 0.351; 9.700; 124.000
 2023-06-10 00:24:08; 0.351; 9.700; 123.000
 2023-06-10 00:34:11; 0.351; 9.700; 123.000
 2023-06-10 00:44:11; 0.350; 9.700; 124.000
 2023-06-10 00:54:08; 0.350; 9.700; 123.000
 2023-06-10 01:04:06; 0.350; 9.700; 123.000
 2023-06-10 01:14:10; 0.350; 9.700; 123.000
 2023-06-10 01:24:09; 0.351; 9.600; 123.000
 2023-06-10 01:34:08; 0.350; 9.600; 123.000
 2023-06-10 01:44:10; 0.351; 9.600; 123.000
 2023-06-10 01:54:08; 0.350; 9.600; 123.000
 2023-06-10 02:04:11; 0.350; 9.600; 123.000
 2023-06-10 02:14:11; 0.351; 9.600; 123.000
 2023-06-10 02:24:08; 0.350; 9.600; 123.000
 2023-06-10 02:34:05; 0.350; 9.600; 123.000
 2023-06-10 02:44:12; 0.350; 9.600; 123.000
 2023-06-10 02:54:05; 0.350; 9.600; 123.000
 2023-06-10 03:04:08; 0.350; 9.600; 123.000
 2023-06-10 03:14:09; 0.350; 9.600; 124.000
 2023-06-10 03:24:08; 0.350; 9.500; 123.000
 2023-06-10 03:34:07; 0.350; 9.500; 124.000
 2023-06-10 03:44:11; 0.351; 9.500; 123.000
 2023-06-10 03:54:08; 0.351; 9.500; 123.000
 2023-06-10 04:04:05; 0.350; 9.500; 123.000
 2023-06-10 04:14:07; 0.351; 9.500; 123.000
 2023-06-10 04:24:04; 0.350; 9.500; 123.000
 2023-06-10 04:34:07; 0.351; 9.400; 124.000
 2023-06-10 04:44:12; 0.350; 9.400; 123.000
 2023-06-10 04:54:10; 0.350; 9.400; 123.000
 2023-06-10 05:04:06; 0.351; 9.400; 123.000
 2023-06-10 05:14:05; 0.350; 9.400; 124.000
 2023-06-10 05:24:08; 0.350; 9.400; 124.000
 2023-06-10 05:34:11; 0.350; 9.400; 124.000
 2023-06-10 05:44:11; 0.350; 9.300; 123.000
 2023-06-10 05:54:11; 0.351; 9.300; 123.000
 2023-06-10 06:04:05; 0.350; 9.300; 123.000
 2023-06-10 06:14:12; 0.350; 9.300; 123.000
 2023-06-10 06:24:05; 0.351; 9.300; 123.000
 2023-06-10 06:34:09; 0.351; 9.300; 123.000
 2023-06-10 06:54:04; 0.350; 9.300; 123.000
 2023-06-10 07:14:08; 0.350; 9.200; 123.000
 2023-06-10 07:24:09; 0.351; 9.200; 123.000
 2023-06-10 07:34:05; 0.351; 9.200; 123.000
 2023-06-10 07:44:05; 0.350; 9.200; 124.000
 2023-06-10 07:54:07; 0.351; 9.200; 123.000
 2023-06-10 08:04:05; 0.350; 9.200; 124.000
 2023-06-10 08:14:07; 0.351; 9.200; 123.000
 2023-06-10 08:24:09; 0.351; 9.200; 123.000
 2023-06-10 08:34:05; 0.350; 9.100; 123.000
 2023-06-10 08:44:07; 0.350; 9.100; 123.000
 2023-06-10 08:54:08; 0.351; 9.100; 123.000
 2023-06-10 09:04:11; 0.350; 9.100; 123.000
 2023-06-10 09:14:12; 0.350; 9.100; 123.000
 2023-06-10 09:24:09; 0.350; 9.100; 123.000
 2023-06-10 09:34:09; 0.350; 9.100; 123.000
